idMUNICIPIO,NomeM,POP_2010,POP_2013,POP_2014,POP_2015,POP_2016,QTD_IES,IDH_2010,GINI_2010,PIB_2010,PERCAPITA_2010,UF_idUF
712,Luzinópolis,2622,2802,2862,2923,2983,0,0.63900000,0.4964,18588.218,7089.33,27
713,Maiquinique,8782,9219,9364,9510,9656,0,0.57599998,0.4703,57172.686,6510.21,5
714,"Coelho Neto",46792,48165,48623,49081,49539,0,0.56400001,0.5525,192568.420,4115.41,10
715,Camocim,60163,61578,62049,62521,62992,0,0.62000000,0.5712,318396.353,5292.23,6
716,Lorena,82553,83922,84378,84835,85291,1,0.76599997,0.5310,1341398.315,16248.93,26
717,Pancas,21520,21855,21967,22079,22191,0,0.66700000,0.5040,140919.054,6548.28,8
718,"Senador José Porfírio",12998,12181,11909,11637,11364,0,0.51400000,0.5661,53292.502,4100.05,14
719,Araci,51636,52852,53257,53662,54067,0,0.53399998,0.5667,197733.322,3829.37,5
720,Pontalina,17112,17279,17334,17390,17446,0,0.68699998,0.5491,184775.489,10798.01,9
721,Cláudio,25777,26754,27079,27405,27730,0,0.70899999,0.4053,310166.308,12032.68,11
722,"Campo Limpo De Goiás",6270,8151,8778,9405,10032,0,0.66100001,0.4266,41364.730,6597.25,9
723,Goianira,34061,38664,40198,41732,43266,0,0.69400001,0.4090,253840.797,7452.54,9
724,Canavieira,3922,3864,3845,3826,3807,0,0.58300000,0.5201,16350.854,4169.01,17
725,Crateús,72853,73440,73635,73831,74026,0,0.64399999,0.6094,384605.921,5279.20,6
726,"Pedro Avelino",7168,6917,6833,6749,6665,0,0.58300000,0.5196,37689.829,5258.07,20
727,Laranjal,6361,6133,6057,5981,5905,0,0.58499998,0.4878,50390.148,7921.73,18
728,"Areia De Baraúnas",1927,1874,1856,1839,1821,0,0.56199998,0.4622,9610.600,4987.34,15
729,"Dirceu Arcoverde",6677,6860,6921,6983,7044,0,0.56099999,0.5265,22325.690,3343.67,17
730,Ninheira,9795,9927,9971,10015,10058,0,0.55599999,0.5275,47088.489,4807.40,11
731,Goiás,24745,24033,23795,23558,23320,1,0.70899999,0.5309,243159.085,9826.59,9
732,"Picada Café",5182,5335,5386,5437,5487,0,0.75800002,0.3238,178092.299,34367.48,23
733,"Virgem Da Lapa",13625,13611,13606,13602,13597,0,0.61000001,0.4999,61328.180,4501.15,11
734,"Frei Lagonegro",3329,3370,3384,3398,3412,0,0.54299998,0.5062,17204.499,5168.07,11
735,"São Bernardo",26480,27608,27984,28360,28736,0,0.57200003,0.5939,93877.367,3545.22,10
736,Cacaulândia,5727,5834,5869,5905,5940,0,0.64600003,0.5579,118333.708,20662.43,21
737,"Presidente Dutra",13756,13764,13766,13769,13772,0,0.61400002,0.5526,56331.628,4095.06,5
738,Cáceres,87912,88529,88734,88940,89145,1,0.70800000,0.5420,930296.284,10582.13,13
739,"São Paulo",11244369,11487404,11568416,11649428,11730439,22,0.80500001,0.6453,443600101.700,39450.87,26
740,"Jaraguá Do 5",143206,153621,157093,160565,164036,0,0.80299997,0.4339,5259384.341,36726.01,24
741,Manhumirim,21366,21768,21902,22037,22171,0,0.69700003,0.4914,278448.285,13032.31,11
742,"Felício Dos Santos",5137,4959,4900,4841,4782,0,0.60600001,0.4627,26732.892,5203.99,11
743,"Limeira Do Oeste",6890,7106,7178,7250,7322,0,0.70999998,0.4704,190092.810,27589.67,11
744,"Baixo Guandu",29086,29466,29593,29720,29846,0,0.70200002,0.4909,277652.135,9545.90,8
745,"Novo Hamburgo",239051,239908,240194,240480,240766,1,0.74699998,0.5387,5395052.875,22568.63,23
746,Boituva,48323,52510,53905,55301,56696,0,0.77999997,0.4937,1309447.847,27097.82,26
747,Juramento,4110,4173,4194,4215,4235,0,0.66900003,0.4324,32767.020,7972.51,11
748,Moema,7028,7183,7234,7286,7337,0,0.72100002,0.3857,51945.226,7391.18,11
749,"Campo Alegre",11748,11782,11794,11805,11816,0,0.71399999,0.4126,197659.428,16824.94,24
750,Calumbi,5651,5223,5080,4937,4794,0,0.57099998,0.5433,24666.505,4364.98,16
751,Maracanaú,209748,218753,221754,224756,227758,0,0.68599999,0.4423,4100335.632,19548.87,6
752,"Olho Dágua Das Cunhãs",18505,19743,20156,20569,20982,0,0.58899999,0.5425,76762.512,4148.20,10
753,"Sentinela Do 5",5197,5289,5319,5350,5380,0,0.67100000,0.4829,54451.691,10477.52,23
754,Juripiranga,10240,10418,10477,10537,10596,0,0.54799998,0.5403,54178.099,5290.83,15
755,"Águas De Chapecó",6109,6207,6240,6273,6305,0,0.71300000,0.4524,126858.433,20765.83,24
756,"Nova Granada",19178,19825,20041,20257,20473,0,0.73900002,0.4487,230713.654,12030.12,26
757,Serranópolis,7477,7786,7889,7992,8095,0,0.68099999,0.4908,195873.885,26196.86,9
758,"Luís Correia",28422,29673,30090,30507,30923,0,0.54100001,0.5942,125722.829,4423.43,17
759,"Santa Efigênia De Minas",4610,4516,4484,4453,4422,0,0.60699999,0.4866,22557.917,4893.26,11
760,Carneiros,8290,8802,8972,9143,9313,0,0.52600002,0.5463,27485.367,3315.48,2
761,"Ribeiro Gonçalves",6841,7177,7289,7401,7512,0,0.60100001,0.5975,53802.264,7864.68,17
